player id,position,team,gw1 points,gw2 points,gw3 points,gw4 points,gw5 points,gw6 points,select percentage,ict index,top players select %,win,draw,lose,gw7 points
249,DEF,12,0,6,1,6,6,7,6.489810956,0.7,0.001250313,6.69,4.24,1.55,1
250,MID,12,2,2,9,3,3,0,2.600525315,0,0.003500875,6.69,4.24,1.55,0
251,MID,12,1,0,0,0,1,3,1.657785996,11,0.000250063,6.69,4.24,1.55,8
252,DEF,12,0,0,0,0,0,0,3.161232712,0,0,6.69,4.24,1.55,0
253,DEF,12,3,0,0,0,0,0,0.406118455,0,0.000875219,6.69,4.24,1.55,0
254,MID,12,2,6,4,0,1,1,2.423787699,0,0,6.69,4.24,1.55,0
255,MID,12,2,6,1,1,3,1,1.395330755,2.1,0.185046262,6.69,4.24,1.55,1
256,DEF,12,2,6,6,12,6,12,14.99755271,4.7,0.013003251,2.65,3.29,2.84,0
257,GK,12,2,6,6,6,8,6,9.830182804,1.4,0.000500125,2.65,3.29,2.84,1
258,DEF,12,2,0,0,0,6,0,0.455599281,0,0.003625906,2.65,3.29,2.84,0
259,DEF,12,0,14,6,5,0,5,3.334320493,1.9,0.000125031,2.65,3.29,2.84,1
260,GK,12,0,0,0,0,0,0,0.163541144,0,0.001250313,2.65,3.29,2.84,0
261,MID,12,0,3,4,10,3,3,1.620372214,3.6,0.084771193,2.65,3.29,2.84,1
262,DEF,12,2,11,6,7,8,5,27.39214292,1.2,0.008002001,2.65,3.29,2.84,0
263,FWD,12,1,11,12,2,2,8,6.712118011,9.7,0,2.65,3.29,2.84,5
264,DEF,12,1,0,1,0,0,0,0.766346476,0,0.001500375,2.65,3.29,2.84,0
265,MID,12,0,0,0,0,1,3,0.902567356,13,0.000125031,2.65,3.29,2.84,7
266,MID,12,0,3,7,2,0,3,0.576079504,1.7,0.003625906,2.65,3.29,2.84,2
267,MID,10,2,2,2,2,0,1,1.431436778,0,0.036509127,2.65,3.29,2.84,0
268,MID,12,2,3,18,3,0,0,8.551016669,0,0,2.65,3.29,2.84,0
269,FWD,13,0,0,1,0,0,1,1.843404481,3.4,0.012253063,2.65,3.29,2.84,1
270,GK,13,2,3,7,2,10,2,6.508404904,0.7,0,2.65,3.29,2.84,2
271,MID,13,1,2,0,2,4,0,0.348327419,0,0.010877719,2.65,3.29,2.84,0
272,MID,13,16,4,2,9,2,2,21.8182979,2.3,0.002125531,2.65,3.29,2.84,1
273,DEF,13,2,1,7,2,2,7,6.781559987,0,0.000125031,2.65,3.29,2.84,0
274,MID,13,7,0,2,0,2,1,0.476083534,3.2,0.326706677,2.65,3.29,2.84,2
275,DEF,13,1,4,6,5,2,0,28.31813104,5.7,0.000125031,2.65,3.29,2.84,2
276,MID,13,0,1,0,6,7,0,1.317507236,0,0.054263566,2.65,3.29,2.84,0
277,MID,13,20,1,2,8,2,0,26.72560219,6.7,0,2.65,3.29,2.84,5
278,FWD,13,1,1,1,1,0,0,0.618213105,8,0.000125031,2.65,3.29,2.84,7
279,DEF,13,0,0,0,0,0,0,0.116188398,0,0.000125031,2.65,3.29,2.84,0
280,GK,13,0,0,0,0,0,0,0.473301575,0,0,2.65,3.29,2.84,0
281,MID,13,0,0,0,0,0,0,0.14231979,0,0,2.65,3.29,2.84,0
282,MID,13,0,0,0,1,0,0,0.111682575,0,0.000250063,2.65,3.29,2.84,0
283,DEF,2,0,1,2,1,6,0,0.544003755,0,0.000375094,2.65,3.29,2.84,0
284,DEF,13,5,2,0,0,0,1,0.484726629,2.3,0.000125031,1.76,3.95,4.7,2
285,MID,13,2,1,0,0,2,3,0.243659184,6.3,0,1.76,3.95,4.7,2
286,DEF,13,0,0,0,0,0,0,0.086454725,0,0.000500125,1.76,3.95,4.7,0
287,MID,10,2,0,1,1,2,1,0.540877023,2.9,0.001500375,1.76,3.95,4.7,3
