Name,id,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12,gw13,gw14,gw15,gw16,gw17,gw18,gw19,gw20,gw21,gw22,gw23,gw24,gw25,gw26,gw27,gw28,gw29,gw30,gw31,gw32,gw33,gw34,gw35,gw36,gw37,gw38,gw39,gw40,gw41,gw42,gw43,gw44,gw45,gw46,gw47,gw48,gw49
Luke Thomas,240,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,1,6,2,2,9,0,1,0,7,0,2,0,0,0,0,0,0,1,0
Timothy Castagne,498,14,9,4,1,1,6,0,0,0,0,0,0,0,1,1,0,2,0,12,2,1,0,0,0,2,3,2,6,0,1,1,11,9,2,2,0,1,0,0,0,2,2,1,1,1,1,2,1,2
Nampalys Mendy,518,3,1,5,1,3,3,2,3,1,2,2,1,1,0,0,2,0,0,0,1,2,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cengiz Ünder,541,0,0,0,1,0,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Fofana,561,0,0,0,0,2,5,2,7,1,1,2,6,1,10,1,0,2,0,6,2,1,0,0,0,0,0,2,7,0,1,0,6,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Islam Slimani,579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vontae Daley-Campbell,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thakgalo Leshabela,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidnei Tavares,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Flynn,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thanawat Suengchitthawon,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawanda Maswanhise,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Hernández Domínguez,193,2,0,0,0,1,1,2,0,0,0,0,0,7,0,1,1,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Francisco Casilla Cortés,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0
Liam Cooper,195,0,1,6,3,0,0,0,-1,5,5,1,1,1,5,0,0,0,0,2,2,2,1,7,0,8,2,1,0,0,2,-2,0,0,0,0,0,6,1,-1,3,2,0,2,1,7,2,2,2,2
Barry Douglas,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Ayling,197,0,1,7,2,1,6,0,0,6,5,1,1,1,-1,6,6,1,0,1,2,1,0,6,0,8,2,1,6,2,2,2,2,5,0,2,6,7,2,6,1,2,1,2,0,0,0,0,0,0
